Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Cadence,Max Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate
running,2017-07-15 11:47:53,false,"Downtown Toronto (University of Toronto / Harbord) Running","8.01","898","54:59","--","--","0.0","163","178","6:52","6:08","173","173","1.44","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
other,2017-07-14 16:48:14,false,"Downtown Toronto (University of Toronto / Harbord) Dynamic","6.02","612","42:18","--","--","0.0","162","172","8.5","10.8","187","187","1.42","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-07-13 16:04:08,false,"Downtown Toronto (University of Toronto / Harbord) Running","4.30","487","28:51","--","--","0.0","164","171","6:43","6:17","13","13","1.46","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-07-10 17:35:38,false,"Downtown Toronto (University of Toronto / Harbord) Running","6.01","673","41:21","--","--","0.0","162","204","6:53","5:43","107","107","1.44","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
other,2017-07-08 10:44:03,false,"Downtown Toronto (University of Toronto / Harbord) Dynamic","7.05","709","50:56","--","--","0.0","161","202","8.3","10.8","122","122","1.38","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-07-06 17:23:07,false,"Mount Kisco Running","0.78","74","9:25.0","--","--","0.0","144","237","12:01","4:47","226","98","0.87","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-07-06 17:20:20,false,"Mount Kisco Running","0.25","30","2:12.1","--","--","0.0","155","164","8:56","6:57","6","36","1.16","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-07-04 18:06:40,false,"Tarrytown Running","5.63","641","38:54","--","--","0.0","164","176","6:54","6:10","453","452","1.43","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-07-03 18:28:46,false,"Tarrytown Running","6.05","686","44:12","--","--","0.0","160","170","7:19","6:21","533","539","1.38","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-07-03 18:11:13,false,"Tarrytown Running","1.32","149","10:02","--","--","0.0","158","168","7:36","6:59","74","77","1.34","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-06-30 17:25:57,false,"Tarrytown Running","6.02","676","42:57","--","--","0.0","162","173","7:08","6:12","466","465","1.39","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-06-30 17:08:18,false,"Tarrytown Running","1.31","145","9:43.1","--","--","0.0","159","176","7:26","6:44","43","36","1.36","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-06-29 17:28:27,false,"Tarrytown Running","4.92","548","35:14","--","--","0.0","163","177","7:09","5:44","270","263","1.38","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-06-29 17:11:12,false,"Running","1.33","153","10:20","--","--","0.0","157","166","7:45","7:03","--","--","1.32","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-06-27 17:28:46,false,"Tarrytown Running","4.73","518","35:01","--","--","0.0","161","220","7:24","6:02","317","315","1.35","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-06-27 17:10:06,false,"Running","1.26","144","9:46.4","--","--","0.0","156","164","7:47","7:18","--","--","1.32","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-06-26 17:24:48,false,"Tarrytown Running","4.92","547","35:32","--","--","0.0","162","174","7:14","6:25","358","349","1.37","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-06-26 17:07:07,false,"Tarrytown Running","1.21","141","9:45.1","--","--","0.0","157","164","8:03","6:47","--","4","1.28","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-06-23 12:16:14,false,"Pound Ridge Running","3.05","340","22:19","--","--","0.0","158","166","7:18","6:46","65","48","1.39","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-06-20 09:07:00,false,"Millwood Running","6.01","677","43:35","--","--","0.0","161","168","7:15","6:28","237","240","1.38","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
