Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Cadence,Max Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate
running,2017-06-17 09:05:23,false,Tarrytown Running,5.83,2778,43:28,--,--,0,161,168,7:28,--,353,344,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
running,2017-06-01 14:51:54,false,Chappaqua Running,2.01,955,14:14,--,--,0,162,172,7:05,59:09,44,32,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-30 15:41:07,false,Chappaqua Running,4.31,2036,32:02,--,--,0,162,179,7:26,--,319,319,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-30 15:18:11,false,Chappaqua Running,0.88,411,6:41.7,--,--,0,161,168,7:34,--,23,18,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-27 10:24:52,false,Mount Kisco Running,3.41,1626,28:06,--,--,0,159,170,8:15,--,225,243,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-23 15:06:52,false,Chappaqua Running,5.01,2330,35:43,--,--,0,162,176,7:08,58:12,312,314,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-22 16:18:44,false,Pleasantville Running,0.26,96,1:07.9,--,--,0,192,206,4:23,40:40,--,8,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-22 16:13:53,false,Pleasantville Running,0.51,210,2:23.3,--,--,0,189,199,4:39,43:57,--,10,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-22 16:11:33,false,Pleasantville Running,0.25,96,1:09.5,--,--,0,192,202,4:33,39:26,--,12,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-22 16:00:22,false,Pleasantville Running,0.25,96,1:08.9,--,--,0,192,204,4:31,40:26,--,5,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-22 15:55:40,false,Pleasantville Running,0.52,210,2:21.3,--,--,0,189,197,4:31,40:50,--,7,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-22 15:53:25,false,Pleasantville Running,0.25,101,1:12.6,--,--,0,187,196,4:46,42:54,--,6,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-20 13:17:48,false,Armonk Running,0.84,398,7:08.3,--,--,0,156,171,8:28,52:39,39,37,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-18 15:36:57,false,Chappaqua Running,3.3,1534,23:15,--,--,0,161,179,7:03,56:42,190,172,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-18 15:16:08,false,Chappaqua Running,0.94,440,7:45.6,--,--,0,157,164,8:16,--,23,22,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-15 15:41:05,false,Chappaqua Running,6.42,3013,46:49,--,--,0,162,249,7:18,53:50,359,358,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-12 14:48:22,false,West Harrison Running,4.18,1994,32:28,--,--,0,161,230,7:46,--,354,347,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-09 15:35:42,false,Chappaqua Running,7.34,3453,55:09,--,--,0,164,227,7:31,--,494,484,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-09 15:19:17,false,Chappaqua Running,0.7,331,5:00.6,--,--,0,165,180,7:07,--,20,21,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
running,2017-05-08 16:23:24,false,Pleasantville Running,0.99,469,7:59.8,--,--,0,161,170,8:06,--,23,--,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
